Facility #,Facility Name,Facility Name Overflow,Facility Street,Facility City,Facility State,Facility Zip Code,Facility County,Owner Name ,Owner Name Overflow,Business Type,Original Issuance Date,Last Renewal Date,Expiration Date,Georeference
7130726,2ND AVE AUTO FIX LLC,,105 SECOND AVE,ALBANY,NY,12202,ALBA,SEEMA GUL,,DLU,01/12/2023,,12/31/2024,POINT (-73.765556139 42.639040687)
7127552,518 MOTORSPORTS LLC,,170 CATHERINE STREET,ALBANY,NY,12202,ALBA,PEDRO CEDENO MARTE,,DLU,11/04/2020,10/07/2022,10/31/2024,POINT (-73.766017038 42.643406335)
7001863,ABELE TRACTOR&EQUIP,CO INC,72 EVERETT RD,ALBANY,NY,12205,ALBA,RODNEY ABELE,,DLU,11/13/1980,08/08/2023,08/31/2025,POINT (-73.77675302 42.692192766)
7113007,ACCESS AUTO SALES,,68 FULLER ROAD,ALBANY,NY,12205,ALBA,JOSEPH A LOMBARDI,,DLB,10/24/2011,08/02/2023,09/30/2025,POINT (-73.822246051 42.69899028)
7113007,ACCESS AUTO SALES,,68 FULLER ROAD,ALBANY,NY,12205,ALBA,JOSEPH A LOMBARDI,,DLU,10/24/2011,08/02/2023,09/30/2025,POINT (-73.822246051 42.69899028)
7125522,ACTION ENTERPRISE 1,LLC,9A NORMAN DRIVE,ALBANY,NY,12205,ALBA,DIANE RICH WOLFE,,DLU,06/20/2019,03/15/2023,03/31/2025,POINT (-73.852702283 42.72216905)
7098865,ADVANTAGE TRANSIT,GROUP INC,137 NO LARK STREET,ALBANY,NY,12210,ALBA,GEORGE DEUTSCH,,DLU,04/21/2010,12/21/2022,12/31/2024,POINT (-73.761906993 42.658372625)
7103688,ALBANY BATTERY INC,,69 TERMINAL STREET,ALBANY,NY,12206,ALBA,JOSEPH TREMBLEY,,DLU,01/06/2016,02/09/2023,02/28/2025,POINT (-73.771248289 42.673475725)
3010134,ALBANY HONDA,,390 NEW KARNER RD,ALBANY,NY,12205,ALBA,JAF MOTORS INC,,DLU,01/27/1983,05/15/2024,05/31/2026,POINT (-73.849318593 42.733424899)
7070582,ALBANY LIGHT TRUCK &,CAR REPAIR,4 ANDERSON DR,ALBANY,NY,12205,ALBA,ALBANY LIGHT TRUCK,REPAIR SERVICE INC,DLU,05/15/2006,04/12/2023,04/30/2025,POINT (-73.778211304 42.682168387)
